"tract","Name","Poverty_Rate_in_2012-16"
24510070100,"Baltimore, MD",0.3588
24510271002,"Winston - Govans, Baltimore, MD",0.3576
24510250303,"Morrell Park, Baltimore, MD",0.3555
24510250402,"Brooklyn, Baltimore, MD",0.3518
24510130200,"Reservoir Hill, Baltimore, MD",0.349
24510271802,"Langston Hughes, Baltimore, MD",0.3483
24510271600,"Edgecomb, Baltimore, MD",0.3444
24510210200,"Pigtown, Baltimore, MD",0.3425
24510271801,"Arlington, Baltimore, MD",0.3371
24510130100,"Reservoir Hill, Baltimore, MD",0.3366
24510250301,"Westport, Baltimore, MD",0.3355
24510130300,"Penn North, Baltimore, MD",0.331
24510190200,"Pratt Monroe, Baltimore, MD",0.3308
24510060100,"Patterson Park, Baltimore, MD",0.3268
24510080500,"Darley Park, Baltimore, MD",0.3266
24510080302,"Berea, Baltimore, MD",0.322
24510250500,"Curtis Bay, Baltimore, MD",0.3178
24510260301,"Belair - Edison, Baltimore, MD",0.3163
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.316
24510151200,"Park Circle, Baltimore, MD",0.3156
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",0.3129
24510280101,"Reisterstown Station, Baltimore, MD",0.3105
24510170300,"Upton, Baltimore, MD",0.3103
24510130400,"Woodbrook, Baltimore, MD",0.305
24510090400,"Better Waverly, Baltimore, MD",0.3048
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.3044
24510160200,"Sandtown-Winchester, Baltimore, MD",0.3034
24510260404,"Baltimore Highlands, Baltimore, MD",0.3004
24510260403,"Cedonia, Baltimore, MD",0.2989
24005421300,"Dundalk, MD",0.2961
24510040200,"Downtown, Baltimore, MD",0.296
24510120500,"Greenmount West, Baltimore, MD",0.2953
24510120300,"Harwood, Baltimore, MD",0.2949
24510150600,"NW Community Action, Baltimore, MD",0.2924
24005491300,"Baltimore, MD",0.2907
24510270101,"Arcadia, Baltimore, MD",0.2899
24510080700,"Broadway East, Baltimore, MD",0.2873
24510080600,"Broadway East, Baltimore, MD",0.2862
24510200600,"Baltimore, MD",0.2826
24510170100,"Downtown, Baltimore, MD",0.2784
24510080102,"Belair - Edison, Baltimore, MD",0.2781
24510260302,"Belair - Edison, Baltimore, MD",0.2751
24510151000,"Dorchester, Baltimore, MD",0.2745
24510271101,"Radnor - Winston, Baltimore, MD",0.2739
24510210100,"Pigtown, Baltimore, MD",0.2723
24510200701,"Allendale, Baltimore, MD",0.2698
24005490301,"Towson, MD",0.2685
24510260800,"Baltimore Highlands, Baltimore, MD",0.2684
24510260605,"Medford - Broening, Baltimore, MD",0.2675
24510040100,"Downtown, Baltimore, MD",0.2658
24510150500,"Burleith-Leighton, Baltimore, MD",0.2649
24510150200,"Sandtown-Winchester, Baltimore, MD",0.2633
24510271900,"Glen, Baltimore, MD",0.2616
24510200800,"Irvington, Baltimore, MD",0.2615
24510250203,"Cherry Hill, Baltimore, MD",0.2599
24510090900,"Oliver, Baltimore, MD",0.2589
24510160500,"Bridgeview-Greenlawn, Baltimore, MD",0.2569
24005420900,"Dundalk, MD",0.2565
24510150800,"Garwyn Oaks, Baltimore, MD",0.2563
24510280301,"Gwynn Oak, Baltimore, MD",0.2543
24510280404,"Irvington, Baltimore, MD",0.2538
24510280302,"West Forest Park, Baltimore, MD",0.2469
24510260402,"Frankford, Baltimore, MD",0.2457
24510080200,"Broadway East, Baltimore, MD",0.2433
24005421000,"Dundalk, MD",0.2427
24005491500,"Parkville, MD",0.2425
24510270701,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.2417
24003750101,"Brooklyn Park, MD",0.2401
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",0.2385
24510150702,"Walbrook, Baltimore, MD",0.2373
24510060200,"Baltimore, MD",0.2371
24510150300,"Coppin Heights, Baltimore, MD",0.2349
24510280200,"Gwynn Oak, Baltimore, MD",0.2347
24510272007,"Fallstaff, Baltimore, MD",0.2345
24510080301,"Berea, Baltimore, MD",0.2304
24005403402,"Pikesville, MD",0.2301
24005420301,"Dundalk, MD",0.23
24005420600,"Baltimore, MD",0.2292
24510250101,"Beechfield, Baltimore, MD",0.2265
24510060300,"Butchers Hill, Baltimore, MD",0.226
24510260700,"Fifteenth Street, Baltimore, MD",0.2243
24510060400,"Baltimore, MD",0.2216
24510280102,"Gwynn Oak, Baltimore, MD",0.2213
24510250401,"Brooklyn, Baltimore, MD",0.2199
24510030200,"Little Italy, Baltimore, MD",0.2189
24510150900,"Windsor Hills, Baltimore, MD",0.2183
24510110100,"Downtown, Baltimore, MD",0.2155
24510120201,"Baltimore, MD",0.2148
24510260203,"Frankford, Baltimore, MD",0.2128
24510250206,"Morrell Park, Baltimore, MD",0.2063
24510090100,"Ednor Gardens - Lakeside, Baltimore, MD",0.2059
24005490900,"Towson, MD",0.2048
24510271001,"Baltimore, MD",0.2046
24510250207,"Cherry Hill, Baltimore, MD",0.2021
24510260401,"Armistead Gardens, Baltimore, MD",0.1969
24510272006,"Glen, Baltimore, MD",0.1963
24510270903,"Hillen, Baltimore, MD",0.1955
24510110200,"Downtown, Baltimore, MD",0.1921
24510150701,"Hanlon Longwood, Baltimore, MD",0.1916
